Nodes in G1,Closest neighbor in G2
0,[0, 3]
1,[1, 19]
2,[2, 2]
3,[3, 19]
4,[4, 11]
5,[5, 7]
6,[6, 7]
7,[7, 19]
8,[8, 19]
9,[9, 19]
10,[10, 7]
11,[11, 2]
12,[12, 11]
13,[13, 11]
14,[14, 19]
15,[15, 13]
16,[16, 3]
17,[17, 10]
18,[18, 7]
19,[19, 17]
Nodes in G1,Closest neighbor in G2
0,[0, 5]
1,[1, 19]
2,[2, 2]
3,[3, 0]
4,[4, 0]
5,[5, 2]
6,[6, 15]
7,[7, 18]
8,[8, 2]
9,[9, 5]
10,[10, 17]
11,[11, 4]
12,[12, 2]
13,[13, 15]
14,[14, 2]
15,[15, 5]
16,[16, 0]
17,[17, 19]
18,[18, 5]
19,[19, 7]
Nodes in G1,Best neighbor in G2
0,3
2,2
4,11
7,19
15,13
17,10
18,7
19,17
